1965,           ,                
1968,           ,                
1991, 1         ,                
1992, 10        ,                
1993, 130       , 14161570       
1994, 3000      , 25454590       
1995, 23000     , 44838900       
1996, 100000    , 77433860       
1997, 1117255   , 120758310      
1998, 2410067   , 188023930      
1999, 3177453   , 280866670      
2000, 17087182  , 413425190      
2001, 29254370  , 500609240      
2002, 38760373  , 662663600      
2003, 40912332  , 778555680      
2004, 51611646  , 910060180      
2005, 64780617  , 1027580990     
2006, 85507314  , 1160335280     
2007, 121892559 , 1373327790     
2008, 172338726 , 1571601630     
2009, 238027855 , 1766206240     
2010, 206956723 , 2045865660     
2011, 346004403 , 2282955130     
2012, 697089489 , 2518453530     
2013, 672985183 , 2756198420     
2014, 968882453 , 2925249355     
2015, 863105652 , 3185996155     
2016, 1045534808, 3417000000     
2017, 1766926408, 3650000000     
2018, 1630322579, 3896000000     
2019, 1671078665, 4383810342     
